dimension,mean_error_normal,mean_error_anomaly,error_difference,error_ratio
450,0.087531954,0.070744514,-0.01678744,0.8082136
451,0.011452779,0.0052692657,-0.0061835134,0.4600862
452,0.0033130576,0.11637375,0.11306069,35.125786
453,0.004528778,0.003749239,-0.0007795391,0.8278699
454,0.020201847,0.008915342,-0.011286505,0.44131324
455,0.0077103493,0.0146043,0.006893951,1.8941165
456,0.042828027,0.03659581,-0.006232217,0.85448277
457,0.03481507,0.15740493,0.12258986,4.5211725
458,0.0043794853,0.0285538,0.024174316,6.519899
459,0.035021394,0.013211741,-0.021809652,0.37724772
460,0.0830074,0.15618421,0.07317681,1.8815696
461,0.009783405,0.009166173,-0.0006172322,0.9369103
462,0.040483974,0.056241073,0.015757099,1.3892182
463,0.008700972,0.0361593,0.027458327,4.155777
464,0.019432573,0.01933028,-0.000102292746,0.994736
465,0.066406496,0.012307905,-0.05409859,0.18534188
466,0.05571319,0.062631115,0.0069179237,1.1241703
467,0.0010189725,0.009336621,0.008317648,9.16278
468,0.008933181,0.010189295,0.0012561139,1.1406121
469,0.046390824,0.056480743,0.010089919,1.2174982
470,0.19067708,0.08064444,-0.11003263,0.42293727
471,0.02917829,0.04442241,0.015244121,1.5224473
472,0.016629823,0.016478501,-0.00015132129,0.99090064
473,0.17277195,0.03121842,-0.14155352,0.1806915
474,0.0034644848,0.01224432,0.008779835,3.5342395
475,0.020478483,0.048530493,0.02805201,2.3698285
476,0.015413007,0.0034204586,-0.011992548,0.22192027
477,0.021338122,0.013463648,-0.007874474,0.63096684
478,0.03976915,0.3767107,0.33694157,9.472436
479,0.023369502,0.08285347,0.05948397,3.5453675
480,0.00673412,0.0054396116,-0.0012945086,0.8077687
481,0.062472012,0.38922217,0.32675016,6.230345
482,0.0050354544,0.0167604,0.011724945,3.328478
483,0.0065233773,0.0072661336,0.0007427563,1.1138607
484,0.01915885,0.02495209,0.00579324,1.3023794
485,0.15672478,0.28230146,0.12557667,1.8012561
486,0.0042585903,0.0027166246,-0.0015419656,0.6379164
487,0.009277353,0.0032298192,-0.006047534,0.34814018
488,0.0105569875,0.0019391879,-0.0086178,0.18368761
489,0.013063351,0.007335171,-0.0057281796,0.56150764
490,0.01820119,0.083044834,0.06484365,4.562605
491,0.026973613,0.043524325,0.016550712,1.613589
492,0.00896709,0.06733277,0.058365677,7.508876
493,0.0019482301,0.004846479,0.0028982488,2.4876316
494,0.025086284,0.007860853,-0.01722543,0.31335264
495,0.0092993295,0.014650765,0.0053514354,1.5754646
496,0.0052922177,0.0037178274,-0.0015743903,0.7025084
497,0.11309806,0.10442238,-0.00867568,0.92329067
498,0.004058659,0.051079653,0.047020994,12.585352
499,0.056970347,0.024239462,-0.032730885,0.42547506
500,0.010547727,0.002111706,-0.008436021,0.20020483
501,0.014446004,0.0034497324,-0.010996272,0.23880184
502,0.016227087,0.09509695,0.078869864,5.8603835
503,0.019238474,0.007270504,-0.01196797,0.3779148
504,0.010765914,0.0012497784,-0.009516136,0.11608661
505,0.20711924,0.17414577,-0.03297347,0.84079957
506,0.008981896,0.047928177,0.038946282,5.336087
507,0.0018623145,0.004759116,0.0028968016,2.5554845
508,0.059978466,0.21067946,0.15070099,3.512585
509,0.029386353,0.05571788,0.026331529,1.8960462
510,0.01668302,0.007834226,-0.008848794,0.4695928
511,0.0021245843,0.008369579,0.0062449947,3.9393961
512,0.019291218,0.02095507,0.0016638525,1.0862492
513,0.022569362,0.010903483,-0.011665879,0.48310995
514,0.042449884,0.019000435,-0.023449449,0.44759688
515,0.025296064,0.005390411,-0.019905653,0.21309286
516,0.028248947,0.21500991,0.18676096,7.611254
