dimension,mean_error_normal,mean_error_anomaly,error_difference,error_ratio
439,0.018755296,0.055690773,0.03693548,2.9693358
440,0.035415284,0.035049662,-0.00036562234,0.9896761
441,0.001842494,0.0032694577,0.0014269637,1.774474
442,0.01945403,0.015288794,-0.004165236,0.78589344
443,0.029474892,0.025655055,-0.0038198363,0.8704037
444,0.09011954,0.054098427,-0.036021113,0.6002963
445,0.04641,0.037411697,-0.008998305,0.8061128
446,0.021191018,0.007246631,-0.0139443865,0.3419671
447,0.03651083,0.086899325,0.050388496,2.3800974
448,0.06678079,0.058936812,-0.007843979,0.8825414
449,0.033413127,0.09026572,0.056852594,2.7015047
450,0.073194355,0.09838644,0.025192082,1.3441807
451,0.005566618,0.0033656128,-0.0022010051,0.6046064
452,0.012582091,0.11485265,0.10227056,9.128264
453,0.01244494,0.0045657335,-0.007879207,0.36687467
454,0.022570392,0.009484342,-0.01308605,0.42021167
455,0.00805331,0.011814004,0.0037606936,1.4669749
456,0.07896264,0.037192475,-0.041770164,0.47101358
457,0.045526143,0.15833287,0.11280672,3.477845
458,0.02351744,0.032397106,0.008879667,1.377578
459,0.023107434,0.0071216132,-0.01598582,0.30819577
460,0.0967168,0.12996732,0.03325052,1.3437926
461,0.0133413505,0.009297329,-0.0040440215,0.69688064
462,0.051231954,0.052430976,0.0011990219,1.0234038
463,0.014137171,0.037948206,0.023811035,2.6842856
464,0.019388074,0.02253434,0.0031462666,1.1622784
465,0.07687127,0.01269871,-0.06417256,0.1651945
466,0.10576863,0.0677209,-0.03804773,0.6402739
467,0.0009953001,0.009635624,0.008640324,9.681124
468,0.012158856,0.011939764,-0.00021909177,0.98198086
469,0.030114451,0.0662369,0.03612245,2.1995053
470,0.061929647,0.061478667,-0.00045097992,0.99271786
471,0.06918746,0.047452014,-0.021735448,0.685847
472,0.024699707,0.012700301,-0.011999406,0.51418835
473,0.13480562,0.032906216,-0.1018994,0.24410121
474,0.007966261,0.0121172825,0.004151021,1.5210751
475,0.03787633,0.041705154,0.0038288236,1.1010875
476,0.012719283,0.0023646816,-0.010354601,0.18591312
477,0.019367993,0.008594571,-0.010773422,0.44375125
478,0.048333954,0.3716315,0.32329756,7.688829
479,0.02515646,0.07769143,0.052534968,3.088329
480,0.005340136,0.005081235,-0.00025890116,0.9515179
481,0.05386126,0.41254953,0.35868827,7.6594853
482,0.005746227,0.015113327,0.009367099,2.6301303
483,0.0056573823,0.0077065597,0.0020491774,1.362213
484,0.0130706765,0.024970846,0.01190017,1.9104478
485,0.15378302,0.2357505,0.08196747,1.5330073
486,0.0047527635,0.0030707724,-0.0016819912,0.6461025
487,0.005020164,0.0031093836,-0.0019107803,0.6193789
488,0.011377309,0.0024073943,-0.008969915,0.2115961
489,0.014986028,0.0086839385,-0.0063020894,0.57946897
490,0.0287775,0.07714205,0.04836455,2.6806376
491,0.04958761,0.046264898,-0.003322713,0.93299305
492,0.017440101,0.07178624,0.054346137,4.1161594
493,0.0016186951,0.0044562346,0.0028375397,2.7529795
494,0.0141071705,0.0071141846,-0.006992986,0.50429565
495,0.010296718,0.011957507,0.0016607884,1.161293
496,0.0076210955,0.0019640534,-0.0056570424,0.25771272
497,0.081979565,0.09623825,0.014258683,1.1739297
498,0.0045356196,0.048340313,0.043804694,10.657929
499,0.09900147,0.042352863,-0.056648605,0.42780036
500,0.010204946,0.0042319163,-0.0059730294,0.41469267
501,0.02109176,0.0035430416,-0.017548718,0.16798227
502,0.017713396,0.07741509,0.05970169,4.370426
503,0.018052323,0.00661547,-0.011436853,0.3664609
504,0.005687797,0.0010074604,-0.0046803365,0.17712665
505,0.19284365,0.13353625,-0.059307396,0.6924586
506,0.0052379244,0.050122894,0.04488497,9.569228
507,0.0026225254,0.0041593392,0.0015368138,1.5860053
508,0.06718035,0.19062704,0.12344669,2.8375416
509,0.021442223,0.023598045,0.0021558218,1.100541
510,0.016321525,0.0063042035,-0.010017321,0.38625088
511,0.0073991767,0.008944822,0.0015456448,1.2088941
512,0.017394323,0.019524872,0.0021305494,1.1224853
513,0.017161824,0.010086922,-0.007074902,0.5877535
514,0.026034733,0.033043493,0.0070087593,1.2692081
515,0.019086502,0.0026257064,-0.016460797,0.13756876
516,0.01794657,0.21720728,0.19926071,12.102998
